Country,ppratio
Spain,265.65324149870514
Argentina,18.14716792507953
Australia,8.219944835337136
Austria,8.06883299645743
Belgium,1.6922461124867687
Bolivia,5.759392702113573
Brazil,76.91497781657077
Canada,9.25206397865053
Colombia,13.932783891937797
"Congo, Democratic Republic",493.43267521506596
Costa Rica,0.5165273230656096
Cyprus,21.474398547725002
Denmark,2.1355973634340315
Ecuador,16.477173438547226
Egypt,11.699167603258482
El Salvador,149.49929916752043
Finland,75.24221566641069
France,82.10909121724859
Germany,3.502863819300917
Guatemala,1.8356128607319928
Honduras,12.153932171287547
Iceland,11.59713106981834
India,34.74594619300443
Ireland,3.1835055141959296
Israel,29.3842307729656
Italy,138.6488410162557
Japan,1844.879049971177
Kenya,22.977356014065904
Luxembourg,8.31032016827059
Mauritius,24.869157799589367
Mexico,78.78736175065107
Morocco,20.278637130040774
Netherlands,42.345906693601876
New Zealand,12.228395668333011
Nicaragua,42.89642636116764
Norway,3.4281428633425657
Pakistan,16.87860325898931
Panama,859.6237579762559
Peru,3.3079496509123483
Philippines,30.4251575284549
Portugal,783.2399800362838
South Africa,27.828366503239355
Sri Lanka,14.702050183194752
Sweden,116.96626668184729
Switzerland,2.7023331746287194
Thailand,73.60681214600105
Trinidad and Tobago,14.744585627461614
Turkey,14.611484852800551
Uganda,10.038571235373778
United Kingdom,121.29098767870441
United States of America,1.3310094118732594
Uruguay,59.6636833551557
Venezuela,1.6312131963768601
