year,n_countries,na_pop,na_hc,na_gdpcap,na_csh_c,na_csh_i,na_csh_g,na_csh_x,na_csh_m,na_rknacapita,na_region,na_n_countries,na_share_pop,na_share_hc,na_share_gdpcap,na_share_csh_c,na_share_csh_i,na_share_csh_g,na_share_csh_x,na_share_csh_m,na_share_rknacapita,na_share_region,na_share_n_countries,na_share_na_pop,na_share_na_hc,na_share_na_gdpcap,na_share_na_csh_c,na_share_na_csh_i,na_share_na_csh_g,na_share_na_csh_x,na_share_na_csh_m,na_share_na_rknacapita,na_share_na_region,na_share_na_n_countries
1950,183,128,130,128,128,128,128,128,128,128,0,0,0.6994535519125683,0.7103825136612022,0.6994535519125683,0.6994535519125683,0.6994535519125683,0.6994535519125683,0.6994535519125683,0.6994535519125683,0.6994535519125683,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,183,123,125,123,123,123,123,123,123,123,0,0,0.6721311475409836,0.6830601092896175,0.6721311475409836,0.6721311475409836,0.6721311475409836,0.6721311475409836,0.6721311475409836,0.6721311475409836,0.6721311475409836,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,183,122,124,122,122,122,122,122,122,122,0,0,0.6666666666666666,0.6775956284153005,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,183,120,122,120,120,120,120,120,120,120,0,0,0.6557377049180327,0.6666666666666666,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,183,116,118,116,116,116,116,116,116,116,0,0,0.6338797814207651,0.644808743169399,0.6338797814207651,0.6338797814207651,0.6338797814207651,0.6338797814207651,0.6338797814207651,0.6338797814207651,0.6338797814207651,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,183,112,114,112,112,112,112,112,112,112,0,0,0.6120218579234973,0.6229508196721312,0.6120218579234973,0.6120218579234973,0.6120218579234973,0.6120218579234973,0.6120218579234973,0.6120218579234973,0.6120218579234973,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,183,112,114,112,112,112,112,112,112,112,0,0,0.6120218579234973,0.6229508196721312,0.6120218579234973,0.6120218579234973,0.6120218579234973,0.6120218579234973,0.6120218579234973,0.6120218579234973,0.6120218579234973,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,183,112,114,112,112,112,112,112,112,112,0,0,0.6120218579234973,0.6229508196721312,0.6120218579234973,0.6120218579234973,0.6120218579234973,0.6120218579234973,0.6120218579234973,0.6120218579234973,0.6120218579234973,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,183,112,114,112,112,112,112,112,112,112,0,0,0.6120218579234973,0.6229508196721312,0.6120218579234973,0.6120218579234973,0.6120218579234973,0.6120218579234973,0.6120218579234973,0.6120218579234973,0.6120218579234973,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,183,108,112,108,108,108,108,108,108,108,0,0,0.5901639344262295,0.6120218579234973,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,183,72,79,72,72,72,72,72,72,73,0,0,0.39344262295081966,0.43169398907103823,0.39344262295081966,0.39344262295081966,0.39344262295081966,0.39344262295081966,0.39344262295081966,0.39344262295081966,0.3989071038251366,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,183,71,78,71,71,71,71,71,71,72,0,0,0.3879781420765027,0.4262295081967213,0.3879781420765027,0.3879781420765027,0.3879781420765027,0.3879781420765027,0.3879781420765027,0.3879781420765027,0.39344262295081966,0,0,0,0,0,0,0,0,0,0,0,0,0
