year,Spain,Western_Europe,Share
1868-01-01,1698.7675035479258,3403.976119827879,0.49905388397196615
1869-01-01,1757.92802840513,3440.511375527424,0.5109496340891019
1870-01-01,1806.456309295334,3443.218792428477,0.5246417431467529
1871-01-01,1945.427360907923,3442.3539641926586,0.5651444857630111
1872-01-01,2242.9653817361404,3518.5833318989535,0.6374626291785531
1873-01-01,2423.90660503451,3513.571619061606,0.6898697017827915
1874-01-01,2212.928424532403,3673.03440431204,0.6024796342594795
1875-01-01,2273.853091551616,3712.192002880842,0.6125364985935521
1876-01-01,2343.200584124242,3629.2526676874077,0.6456427255634837
1877-01-01,2598.252791621509,3645.2555899421545,0.7127765742381702
1878-01-01,2492.020079848089,3665.392974583715,0.6798780095689773
1879-01-01,2313.5200484261636,3576.6737009724025,0.6468356472655526
1880-01-01,2517.07559103517,3683.0983226782737,0.6834125430582597
1881-01-01,2534.708578590474,3769.3429788004137,0.6724536856545594
1882-01-01,2544.2920289658746,3848.2928697103284,0.6611482325037779
1883-01-01,2579.8380641560116,3909.4131348910273,0.6599041787452129
1884-01-01,2587.094644384827,3907.1274799045023,0.6621474875572938
1885-01-01,2490.2952868895336,3905.772261103383,0.6375935718755972
1886-01-01,2432.0482596409374,3941.631173803613,0.6170156852331895
1887-01-01,2378.44576565618,4034.666053722178,0.5895025099938437
1888-01-01,2472.120964733228,4109.87426187364,0.6015076878790494
1889-01-01,2465.8533076077724,4187.042397473633,0.58892484802533
1890-01-01,2459.6170115845034,4225.204310251144,0.5821297222520122
1891-01-01,2506.0656557088364,4217.0965656410735,0.5942632843950231
1892-01-01,2716.7375926575505,4233.186569899507,0.6417712869012632
1893-01-01,2599.663202241526,4286.9331706738685,0.6064156119869911
1894-01-01,2629.2671177262205,4416.381631560299,0.5953441837854274
1895-01-01,2584.8320355673004,4482.4825836792415,0.5766518859389876
1896-01-01,2328.1600686765682,4611.524442026508,0.5048569291879264
1897-01-01,2465.8978994256045,4624.6332064656235,0.5332094004726847
1898-01-01,2624.471742624925,4761.2936185235685,0.5512098082786897
1899-01-01,2632.6386716970746,4887.774465984929,0.5386170515882376
1900-01-01,2672.390528137885,4902.110312038594,0.545151038640447
1901-01-01,2881.452193308822,4835.299002855149,0.5959201678339604
1902-01-01,2736.106361336982,4883.415643278071,0.5602853742550422
1903-01-01,2708.8139901148097,4929.456127854178,0.5495157923829567
1904-01-01,2657.078907099109,4985.799177725245,0.5329293885261125
1905-01-01,2618.8733699084255,5066.460024094468,0.516903983738922
1906-01-01,2770.938309954853,5178.027318603317,0.5351339688764457
1907-01-01,2824.1585309385746,5290.765731473377,0.5337901306305053
