country,year,pop,rgdpnapc,growth,mm,loess_trend,regimes
Spain,1850-01-01,14894,2017,NA,NA,NA,Unclassified
Spain,1851-01-01,14974,2036,0.009419930589985137,NA,NA,Unclassified
Spain,1852-01-01,15055,2113,0.037819253438113876,NA,NA,Unclassified
Spain,1853-01-01,15136,2113,0,NA,NA,Unclassified
Spain,1854-01-01,15217,2134,0.009938476100331384,NA,NA,Unclassified
Spain,1855-01-01,15299,2238,0.04873477038425489,NA,NA,Unclassified
Spain,1856-01-01,15381,2129,-0.048704200178731005,NA,NA,Unclassified
Spain,1857-01-01,15455,2061,-0.03193987787693753,NA,NA,Unclassified
Spain,1858-01-01,15526,2100,0.018922852983988436,NA,0.015095217477690725,Unclassified
Spain,1859-01-01,15584,2202,0.04857142857142849,0.010306959334714852,0.055726247348763684,Unclassified
Spain,1860-01-01,15642,2284,0.037238873751135326,0.013000150776356901,0.05424734908041382,Unclassified
Spain,1861-01-01,15699,2286,8.756567425569628e-4,0.012145723391614082,0.010810725275741204,Unclassified
Spain,1862-01-01,15754,2286,0,0.008363798047802695,-0.0057670478943295175,Unclassified
Spain,1863-01-01,15809,2318,0.013998250218722585,0.009763623069674954,-6.654465805987324e-4,Unclassified
Spain,1864-01-01,15864,2302,-0.00690250215703192,0.008079525243938623,-0.010878122288128012,Unclassified
Spain,1865-01-01,15920,2206,-0.04170286707211124,-9.642385016979893e-4,-0.03783526015589457,Unclassified
Spain,1866-01-01,15976,2339,0.06029011786038074,0.009935193302213185,0.01961579780491437,Unclassified
Spain,1867-01-01,16032,2303,-0.015391192817443389,0.0115900618081626,0.0030543899644893797,Unclassified
Spain,1868-01-01,16088,2012,-0.12635692574902302,-0.002937916065138546,-0.0740143436095847,Unclassified
Spain,1869-01-01,16144,2082,0.03479125248508952,-0.004315933673772443,-0.025072155553364332,Democratic Sexennium
Spain,1870-01-01,16201,2140,0.02785782901056666,-0.0052540381478293095,0.0030076410475052637,Democratic Sexennium
Spain,1871-01-01,16258,2305,0.07710280373831768,0.002368676551746762,0.05156530835935604,Democratic Sexennium
Spain,1872-01-01,16315,2657,0.152711496746204,0.017639826226367162,0.12400362772469109,Democratic Sexennium
Spain,1873-01-01,16372,2871,0.08054196462175378,0.02429419766667028,0.12818510191401544,Democratic Sexennium
Spain,1874-01-01,16429,2621,-0.08707767328456983,0.01627668055391649,0.029927050946723946,Democratic Sexennium
Spain,1875-01-01,16487,2694,0.027851964898893522,0.023232163751016964,0.01953538312538295,Unclassified
Spain,1876-01-01,16545,2776,0.03043801039346694,0.020246953004325587,0.012398573963008589,Unclassified
Spain,1877-01-01,16603,3078,0.10878962536023051,0.03266503482209297,0.05194844116179531,Bourbon Restoration
Spain,1878-01-01,16677,2952,-0.040935672514619936,0.041207160145533286,-0.0011251671276076985,Bourbon Restoration
Spain,1879-01-01,16768,2741,-0.07147696476964771,0.030580338420059562,-0.05146203208062022,Bourbon Restoration
Spain,1880-01-01,16859,2982,0.08792411528639188,0.03658696704764208,0.008496753695689,Bourbon Restoration
Spain,1881-01-01,16951,3003,0.007042253521126751,0.02958091202592299,0.011768277523149732,Bourbon Restoration
Spain,1882-01-01,17043,3014,0.00366300366300365,0.014676062717602956,0.01328460433383808,Bourbon Restoration
Spain,1883-01-01,17136,3056,0.013934970139349634,0.00801536326936254,0.0177351250720716,Bourbon Restoration
Spain,1884-01-01,17230,3065,0.0029450261780104015,0.017017633215620564,0.012081561904521865,Bourbon Restoration
Spain,1885-01-01,17323,2950,-0.037520391517128826,0.01048039757401833,-0.016009773153015393,Bourbon Restoration
Spain,1886-01-01,17418,2881,-0.02338983050847454,0.005097613483824181,-0.026817444679845953,Bourbon Restoration
Spain,1887-01-01,17513,2818,-0.021867407150295004,-0.00796808976722837,-0.03025493700094608,Bourbon Restoration
Spain,1888-01-01,17600,2929,0.03938963804116402,6.444128835002561e-5,0.003748262888494615,Bourbon Restoration
Spain,1889-01-01,17678,2921,-0.0027313076135199177,0.0069390070039628046,0.00420656059887057,Bourbon Restoration
Spain,1890-01-01,17757,2914,-0.002396439575487852,-0.0020930484822251683,0.004287105706370752,Bourbon Restoration
Spain,1891-01-01,17836,2969,0.018874399450926616,-9.098338892451818e-4,0.016317248042650973,Bourbon Restoration
Spain,1892-01-01,17916,3218,0.08386662175816784,0.007110527920271237,0.060143521289401744,Bourbon Restoration
Spain,1893-01-01,17996,3080,-0.04288377874456184,0.0014286530318800895,0.016658335641415768,Bourbon Restoration
Spain,1894-01-01,18076,3115,0.011363636363636465,0.0022705140504426955,0.012134873041153927,Bourbon Restoration
Spain,1895-01-01,18157,3062,-0.01701444622792936,0.004321108579362643,-0.007702988296810461,Bourbon Restoration
Spain,1896-01-01,18238,2758,-0.09928151534944485,-0.0032680599047343883,-0.06641798945759506,Bourbon Restoration
Spain,1897-01-01,18320,2921,0.05910079767947796,0.004828760578242908,-0.016059265024228206,Bourbon Restoration
Spain,1898-01-01,18402,3109,0.06436152002738793,0.007325948776865298,0.0266711226715207,Bourbon Restoration
Spain,1899-01-01,18484,3119,0.0032164683177871023,0.007920726369996,0.02419246344159099,Bourbon Restoration
Spain,1900-01-01,18566,3166,0.015068932350112307,0.009667263562556016,0.02793167936881747,Bourbon Restoration
Spain,1901-01-01,18659,3413,0.07801642451042334,0.01558146606850569,0.0630878980502721,Bourbon Restoration
Spain,1902-01-01,18788,3241,-0.05039554644008204,0.0021552492486807016,0.012753443252263911,Bourbon Restoration
Spain,1903-01-01,18919,3209,-0.00987349583461894,0.005456277539674992,-0.003330258915060093,Bourbon Restoration
Spain,1904-01-01,19050,3148,-0.01900903708320345,0.0024190101949910004,-0.020800097761213804,Bourbon Restoration
Spain,1905-01-01,19133,3102,-0.014612452350698857,0.0026592095827140507,-0.029460326285397433,Bourbon Restoration
Spain,1906-01-01,19316,3283,0.05834945196647334,0.01842230631430587,0.008716581264639974,Bourbon Restoration
Spain,1907-01-01,19450,3346,0.019189765458422103,0.014431203092200284,0.017709129787137443,Bourbon Restoration
Spain,1908-01-01,19585,3451,0.03138075313807542,0.011133126403269033,0.03224765547434548,Bourbon Restoration
Spain,1909-01-01,19721,3523,0.02086351782092155,0.012897831353582478,0.03585172123385516,Bourbon Restoration
Spain,1910-01-01,19858,3340,-0.05194436559750215,0.006196501558821033,-0.005167090238173804,Bourbon Restoration
Spain,1911-01-01,19994,3582,0.07245508982035931,0.0056403680898146295,0.03191202840982574,Bourbon Restoration
Spain,1912-01-01,20128,3449,-0.037130094919039625,0.00696691324191887,-0.004221783956278485,Bourbon Restoration
Spain,1913-01-01,20263,3629,0.05218904030153659,0.013173166855534425,0.019860677874773157,Bourbon Restoration
Spain,1914-01-01,20398,3504,-0.034444750620005515,0.011629595501854217,-0.010407308689566446,Bourbon Restoration
Spain,1915-01-01,20535,3517,0.003710045662100425,0.013461845303134146,-0.008446664932213811,Bourbon Restoration
Spain,1916-01-01,20673,3640,0.03497298834233731,0.011124198940720541,0.013212649394124483,Bourbon Restoration
Spain,1917-01-01,20811,3566,-0.02032967032967037,0.007172255361911295,-0.001406630807785561,Bourbon Restoration
Spain,1918-01-01,20950,3525,-0.01149747616376895,0.0028844324317268575,-0.007147886307502026,Bourbon Restoration
Spain,1919-01-01,21091,3579,0.015319148936170146,0.002329995543251717,0.0032768578023262686,Bourbon Restoration
Spain,1920-01-01,21232,3837,0.07208717518860008,0.014733149621861941,0.04166269041529999,Bourbon Restoration
Spain,1921-01-01,21411,3930,0.024237685691946842,0.009911409209020694,0.04110313940243665,Bourbon Restoration
Spain,1922-01-01,21628,4055,0.03180661577608146,0.0168050802785328,0.042935410655632424,Unclassified
Spain,1923-01-01,21847,4062,0.0017262638717632228,0.011758802635555465,0.025438889849827166,Unclassified
Spain,1924-01-01,22069,4163,0.024864598719842368,0.017689737569540252,0.02409610982812073,Primo Rivera Dictatorship
Spain,1925-01-01,22292,4407,0.058611578188806135,0.023179890822210825,0.040650144400210045,Primo Rivera Dictatorship
Spain,1926-01-01,22518,4319,-0.019968232357612914,0.0176857687522158,0.00830935784308366,Primo Rivera Dictatorship
Spain,1927-01-01,22747,4684,0.08451030331095155,0.028169766116277993,0.04392378617009107,Primo Rivera Dictatorship
Spain,1928-01-01,22977,4622,-0.013236549957301502,0.02799585873692474,0.015596025842377887,Primo Rivera Dictatorship
Spain,1929-01-01,23210,4938,0.06836867157074855,0.03330081100038258,0.04146680353571885,Primo Rivera Dictatorship
Spain,1930-01-01,23445,4642,-0.05994329688132849,0.020097763793389723,-0.010910995304542745,Unclassified
Spain,1931-01-01,23675,4480,-0.03489875053856095,0.014184120170338942,-0.032607733212464095,Unclassified
Spain,1932-01-01,23897,4562,0.01830357142857153,0.01283381573558795,-0.016108394907096386,Second Republic
Spain,1933-01-01,24122,4366,-0.04296361245067948,0.00836482810334368,-0.0362176644979731,Second Republic
Spain,1934-01-01,24349,4475,0.02496564360971143,0.008374932592330585,-0.009737971907113785,Second Republic
Spain,1935-01-01,24579,4504,0.0064804469273742615,0.0031618194661873988,0.0014787630086219045,Unclassified
Spain,1936-01-01,24810,3402,-0.24467140319715808,-0.019308497617767116,-0.12870135356359103,Unclassified
Spain,1937-01-01,25043,3139,-0.07730746619635509,-0.03549027456849778,-0.12405259146565148,Civil War
Spain,1938-01-01,25279,3119,-0.006371455877668075,-0.03480376516053444,-0.07573772617835677,Civil War
Spain,1939-01-01,25517,3413,0.09426098108368075,-0.03221453420924122,0.017732243295718465,Unclassified
Spain,1940-01-01,25757,3752,0.09932610606504544,-0.016287593914603826,0.08540966761680446,Unclassified
Spain,1941-01-01,25979,3776,0.006396588486140775,-0.012158060012133654,0.0752205697094496,Francoism
Spain,1942-01-01,26182,4015,0.06329449152542366,-0.007658968002448441,0.09146217953408979,Francoism
Spain,1943-01-01,26387,4201,0.04632627646326282,0.0012700208889457887,0.08469038838488233,Francoism
Spain,1944-01-01,26594,4349,0.03522970721256846,0.002296427249231492,0.06522922820709502,Francoism
Spain,1945-01-01,26802,3972,-0.08668659461945272,-0.007020276905451206,-0.022900381661327476,Francoism
Spain,1946-01-01,27012,4109,0.03449144008056404,0.020896007422321006,-0.01832725455539426,Francoism
Spain,1947-01-01,27223,4157,0.01168167437332679,0.029794921479289194,-0.02225310143518414,Francoism
Spain,1948-01-01,27437,4115,-0.010103439980755358,0.029421723068980464,-0.02873468307416075,Francoism
Spain,1949-01-01,27651,4064,-0.012393681652490884,0.018756256795363302,-0.025397419073887612,Francoism
Spain,1950-01-01,28063,4098,0.00836614173228356,0.009660260362087114,-0.005773804877619869,Francoism
Spain,1951-01-01,28298,4485,0.09443631039531475,0.01846423255300451,0.05534364091787758,Francoism
Spain,1952-01-01,28550,4856,0.08272017837235235,0.02040680123769738,0.08738581584672353,Francoism
Spain,1953-01-01,28804,4812,-0.00906095551894559,0.01486807803947654,0.052549935957139325,Francoism
Spain,1954-01-01,29060,5120,0.06400665004156281,0.017745772322375973,0.06338452178469126,Francoism
Spain,1955-01-01,29319,5256,0.026562500000000044,0.02907068178432125,0.04653492279923621,Francoism
Spain,1956-01-01,29579,5644,0.07382039573820398,0.033003577350085245,0.058253812709282454,Francoism
Spain,1957-01-01,29842,5797,0.027108433734939652,0.03454625328624653,0.040000823187458935,Francoism
Spain,1958-01-01,30106,6123,0.056235984129722194,0.04118019569729429,0.04426381400223461,Francoism
Spain,1959-01-01,30373,6017,-0.01731177527355876,0.040688386335187496,0.007919832737514489,Francoism
Spain,1960-01-01,30641,5960,-0.00947315938175175,0.03890445622378397,-0.011278772592656632,Francoism
Spain,1961-01-01,30904,6611,0.10922818791946298,0.04038364397619879,0.04497249427247436,Francoism
Spain,1962-01-01,31158,7197,0.0886401452125245,0.04097564066021601,0.07520585617525198,Francoism
Spain,1963-01-01,31430,7854,0.09128803668195085,0.05101053988030565,0.09621266810339399,Francoism
