regimes,start_year,end_year,duration_years,CAGR
Bourbon Restoration,1875-01-01,1922-01-01,47,0.008742369803177663
Primo Rivera Dictatorship,1923-01-01,1930-01-01,7,0.019243490383078266
Second Republic,1931-01-01,1935-01-01,4,0.001344334620971388
Civil War,1936-01-01,1939-01-01,3,0.001073361778613835
Francoism,1940-01-01,1974-01-01,34,0.04091193035328655
Current Democracy,1975-01-01,2016-01-01,41,0.023736723060021392
