Predictor,Spain,Synthetic Spain,Sample,diff_synth,diff_sample,improvement_pct
pop.mean.1950.1959,29.1444,6.8545,13.2798,22.29,15.8646,-40.5013
gdpcap.mean.1950.1959,7622.1257,7629.9074,10837.1952,-7.7818,-3215.0695,99.758
hc.mean.1950.1959,1.884,1.7959,1.9305,0.0881,-0.0465,-89.5741
csh_c.mean.1950.1959,0.7563,0.7418,0.6751,0.0145,0.0811,82.1451
csh_i.mean.1950.1959,0.1679,0.1679,0.2357,-0,-0.0678,99.9956
csh_g.mean.1950.1959,0.093,0.093,0.1224,-0,-0.0294,99.9957
csh_x.mean.1950.1959,0.0168,0.1239,0.1512,-0.1071,-0.1344,20.2885
csh_m.mean.1950.1959,-0.039,-0.1061,-0.1888,0.0671,0.1499,55.2375
rknacapita.mean.1950.1959,30923.1198,23592.5711,41736.216,7330.5488,-10813.0962,32.2068
