Country,ppratio
Spain,309.99965568249223
Argentina,7.431386466282887
Austria,79.34620908997677
Belgium,69.21025749228201
Brazil,29.474088689240816
Canada,6.843691567617505
Colombia,36.892988076493324
Costa Rica,6.0825684548572125
Cyprus,8.10694667384698
Denmark,7.935408476710134
Ecuador,353.8646044717066
El Salvador,195.05673500044463
Finland,63.885319825100694
France,740.5538225984336
Germany,2.2884869915648034
Guatemala,86.55798382041016
Honduras,39.03651833727571
Iceland,8.379121695927491
Ireland,1.604835188754469
Italy,592.7615483210334
Luxembourg,24.64275327447417
Netherlands,37.433533603377036
Nicaragua,8.898515183336931
Norway,4.044238966465203
Panama,361.2974253673038
Peru,377.5244536602082
Portugal,1295.7510934562488
Sweden,65.26344057413388
Switzerland,2.6737585607264402
Trinidad and Tobago,7.134868143269721
United Kingdom,700.640576689454
Uruguay,72.60646067637151
