Country,p_value_less
1,0.96875
2,0.96875
3,1
4,1
5,1
6,1
7,0.96875
8,0.96875
9,0.96875
10,0.90625
11,0.8125
12,0.84375
13,0.84375
14,0.875
15,0.875
16,0.8125
