Country,ppratio
Spain,15.712678546128664
Albania,63.332576327214895
Argentina,137.13820673900034
Austria,2.986365542568469
Belgium,7.2108568890504205
Brazil,2.1201333320253872
Canada,334.70849195779107
Chile,15.31283166332942
Colombia,260.1768195025673
Costa Rica,427.2473419036276
Cyprus,0.5294189107181044
Denmark,5.951299964931031
Ecuador,1.514624412348869
El Salvador,54.3560618939124
Finland,19.212179122254057
France,80.35244750045709
Germany,0.8942005980386245
Guatemala,138.9430795336687
Honduras,1.2535265815732166
Iceland,32.26312281013088
Ireland,154.83112615484995
Italy,3.1183938913758467
Luxembourg,402.75746711212554
Mexico,30.742720162054958
Netherlands,105.6205852936002
Nicaragua,12.606401103144124
Norway,13.583300014077974
Panama,16.080558330360592
Peru,18.201743955157802
Portugal,0.42321030517871666
Sweden,5.326964245537799
Switzerland,0.12613279344427056
Trinidad and Tobago,338.67346043146705
United Kingdom,18.60483473832284
Uruguay,126.65667204243107
