Predictor,Spain,Synthetic Spain,Sample,diff_synth,diff_sample,improvement_pct
pop.mean.1960.1969,31.9464,31.9464,15.1321,0,16.8142,100
hc.mean.1960.1969,1.9916,1.9916,2.0437,0,-0.0521,99.9999
gdpcap.mean.1960.1969,13769.0664,13769.0691,14545.4308,-0.0027,-776.3644,99.9996
csh_c.mean.1960.1969,0.7084,0.656,0.6625,0.0524,0.0459,-14.276
csh_i.mean.1960.1969,0.2163,0.2163,0.2454,-0,-0.0292,100
csh_g.mean.1960.1969,0.1007,0.1007,0.1323,-0,-0.0315,100
csh_x.mean.1960.1969,0.0326,0.1234,0.1621,-0.0908,-0.1295,29.9107
csh_m.mean.1960.1969,-0.0796,-0.1002,-0.2066,0.0206,0.127,83.7783
rknacapita.mean.1960.1969,52563.6553,52563.6446,58543.1373,0.0106,-5979.482,99.9998
