Predictor,Spain,Synthetic Spain,Sample,diff_synth,diff_sample,improvement_pct
pop.mean.1950.1959,29.1444,33.7351,14.069,-4.5907,15.0755,69.5486
hc.mean.1950.1959,1.884,1.7615,1.9001,0.1225,-0.0161,-662.0612
csh_c.mean.1950.1959,0.7563,0.6937,0.6818,0.0626,0.0745,15.9464
csh_i.mean.1950.1959,0.1679,0.292,0.2355,-0.1241,-0.0676,-83.5154
csh_g.mean.1950.1959,0.093,0.0632,0.1178,0.0298,-0.0248,-20.2185
csh_x.mean.1950.1959,0.0168,0.0556,0.1501,-0.0387,-0.1333,70.9384
csh_m.mean.1950.1959,-0.039,-0.0673,-0.1876,0.0283,0.1486,80.9702
rknacapita.mean.1950.1959,30923.1198,24548.8187,40709.5804,6374.3012,-9786.4606,34.8661
