Country,ppratio
Spain,538.5602111627983
Argentina,0.1451606484482628
Belgium,0.8571065921537252
Brazil,29.551377798961735
Canada,6.919602930361302
Colombia,17.485572217916534
Costa Rica,24.031743653553825
Cyprus,1.714484453449957
Denmark,20.13098571393018
Ecuador,76.20226414264768
El Salvador,101.17525089366097
Finland,69.82380166981531
France,0.9833544992105849
Germany,0.9916645761759638
Guatemala,78.51347635185616
Honduras,3.6578590023509836
Iceland,5.221531245711325
Ireland,1.6969465499540248
Italy,349.31195950319665
Luxembourg,20.710067556187383
Mexico,8.133019941723754
Netherlands,39.1427707990665
Nicaragua,2.1154493501916805
Norway,14.008096590556294
Panama,282.9960948112217
Peru,99.66252120149326
Portugal,92.47392419462489
Sweden,1.6494162726412964
Switzerland,2.6737585607264402
Trinidad and Tobago,5.3556218916288
United Kingdom,172.79627264392204
Uruguay,60.348724726645415
