Predictor,Spain,Synthetic Spain,Sample,diff_synth,diff_sample,improvement_pct
pop.mean.1960.1969,31.9464,34.0774,15.975,-2.131,15.9713,86.6571
gdpcap.mean.1960.1969,13769.0664,13766.9431,14398.7711,2.1233,-629.7047,99.6628
hc.mean.1960.1969,1.9916,1.9253,2.0317,0.0663,-0.0402,-65.0654
csh_c.mean.1960.1969,0.7084,0.7233,0.667,-0.0149,0.0414,64.0605
csh_i.mean.1960.1969,0.2163,0.2163,0.2439,-0,-0.0276,99.9889
csh_g.mean.1960.1969,0.1007,0.1016,0.1297,-9e-4,-0.029,96.9326
csh_x.mean.1960.1969,0.0326,0.0579,0.1581,-0.0253,-0.1255,79.8534
csh_m.mean.1960.1969,-0.0796,-0.0766,-0.2017,-0.003,0.1221,97.5383
rknacapita.mean.1960.1969,52563.6553,52561.7977,57585.4199,1.8576,-5021.7646,99.963
