Country,ppratio
Spain,20.813620696821545
Argentina,3646.3183835482378
Austria,20093.75486705237
Belgium,3.91725578056858
Brazil,3393.225454303541
Canada,133.13753277838663
Chile,1907.6245851881856
Colombia,35.6660323597894
Costa Rica,714.4523251364612
Cyprus,2885.68355525666
Denmark,5.0412284840936215
Ecuador,50.19515376546403
El Salvador,26.49302945508762
Finland,113.02065185731406
France,517.9743838818554
Germany,32.829432257877855
Guatemala,34.51329270647912
Honduras,6.054009141379286
Iceland,24.571968562228097
Ireland,123.3601879282355
Italy,305.7485854423746
Luxembourg,0.2719835758794386
Mexico,455.41651961510473
Netherlands,79.06971323229364
Nicaragua,179.1133996116229
Norway,137.48052564591444
Panama,195.9822879953987
Peru,79.56639379313131
Portugal,46.33163801837997
Sweden,129.9113691706582
Switzerland,3.3001909718020377
Trinidad and Tobago,15094.909176914565
United Kingdom,2772.5306435395014
Uruguay,29.053927981727416
