Country,ppratio
Spain,2334.0234234005934
Argentina,59.09899517187772
Austria,1937.1783150604908
Belgium,0.27903890802921866
Brazil,400.2218876681277
Canada,29.417944413573682
Colombia,219.1751236115377
Costa Rica,2.667299377291176
Cyprus,232.79327766202204
Denmark,48.637055768770246
Ecuador,9177.850985526624
El Salvador,172.9795337655351
Finland,49.43143598380905
France,2449.831764246195
Germany,42.78616323000844
Guatemala,556.8272482813026
Honduras,7.8803594057517605
Iceland,247.58353220996526
Ireland,1972.4663913082243
Italy,362.4637534656425
Luxembourg,2.007047115842361
Netherlands,696.7735591846297
Nicaragua,178.77713869245707
Norway,492.5016062611518
Panama,12.450119113738793
Peru,1456.9543644960336
Portugal,30337.228616461238
Sweden,905.8321676073311
Switzerland,0.15421462425623028
Trinidad and Tobago,206.01421735719387
United Kingdom,236.74167127444915
Uruguay,6.203510250902968
