Predictor,Spain,Synthetic Spain,Sample,diff_synth,diff_sample,improvement_pct
pop.mean.1950.1959,29.1444,24.9169,13.2798,4.2276,15.8646,73.3521
gdpcap.mean.1950.1959,7622.1257,7943.1303,10837.1952,-321.0047,-3215.0695,90.0156
hc.mean.1950.1959,1.884,1.883,1.9305,0.001,-0.0465,97.7661
csh_c.mean.1950.1959,0.7563,0.6769,0.6751,0.0794,0.0811,2.1845
csh_i.mean.1950.1959,0.1679,0.2663,0.2357,-0.0984,-0.0678,-45.1475
csh_g.mean.1950.1959,0.093,0.1448,0.1224,-0.0518,-0.0294,-76.4655
csh_x.mean.1950.1959,0.0168,0.0674,0.1512,-0.0506,-0.1344,62.3667
csh_m.mean.1950.1959,-0.039,-0.1761,-0.1888,0.1371,0.1499,8.519
rknacapita.mean.1950.1959,30923.1198,30923.315,41736.216,-0.1952,-10813.0962,99.9982
