country,reason
Albania,Insufficient pre data for pop (0/10)
Albania,Insufficient pre data for gdpcap (0/10)
Albania,Insufficient pre data for hc (0/10)
Albania,Insufficient pre data for csh_c (0/10)
Albania,Insufficient pre data for csh_i (0/10)
Albania,Insufficient pre data for csh_g (0/10)
Albania,Insufficient pre data for csh_x (0/10)
Albania,Insufficient pre data for csh_m (0/10)
Albania,Insufficient pre data for rknacapita (0/10)
Chile,Insufficient pre data for pop (9/10)
Chile,Insufficient pre data for gdpcap (9/10)
Chile,Insufficient pre data for hc (9/10)
Chile,Insufficient pre data for csh_c (9/10)
Chile,Insufficient pre data for csh_i (9/10)
Chile,Insufficient pre data for csh_g (9/10)
Chile,Insufficient pre data for csh_x (9/10)
Chile,Insufficient pre data for csh_m (9/10)
Chile,Insufficient pre data for rknacapita (9/10)
