Country,p_value_less
1,0.96875
2,0.875
3,0.96875
4,0.96875
5,0.96875
6,0.9375
7,0.9375
8,0.875
9,0.75
10,0.625
11,0.5625
12,0.59375
13,0.59375
14,0.6875
15,0.75
16,0.75
