Predictor,Spain,Synthetic Spain,Sample,diff_synth,diff_sample,improvement_pct
pop.mean.1970.1979,35.5457,53.5857,16.7561,-18.04,18.7896,3.9898
hc.mean.1970.1979,2.1213,2.1214,2.2081,-0,-0.0868,99.9634
gdpcap.mean.1970.1979,21683.3059,21675.0136,19629.204,8.2923,2054.1018,99.5963
csh_c.mean.1970.1979,0.6826,0.615,0.639,0.0676,0.0436,-55.1712
csh_i.mean.1970.1979,0.2476,0.2465,0.2465,0.0012,0.0011,-1.7967
csh_g.mean.1970.1979,0.1037,0.1262,0.1603,-0.0225,-0.0566,60.2458
csh_x.mean.1970.1979,0.054,0.1102,0.1977,-0.0562,-0.1437,60.9266
csh_m.mean.1970.1979,-0.1181,-0.122,-0.2534,0.0039,0.1353,97.1044
rknacapita.mean.1970.1979,95990.2098,95988.4556,85394.981,1.7542,10595.2288,99.9834
