Country,ppratio
Spain,5.183211093451126
Argentina,7.6309365348411635
Austria,968.0845788894209
Belgium,367.3293095702226
Brazil,432.2644740611659
Canada,5.880661386383271
Chile,151.61810658328267
Colombia,47.05509807412624
Costa Rica,20.621579436773658
Cyprus,51.60239124478997
Denmark,96.71506290879637
Ecuador,39.52583616378188
El Salvador,56.327096119822784
Finland,214.8235646745134
France,68.5648117339747
Germany,67.30515818320741
Guatemala,13.076825923307117
Honduras,5.000060980220718
Iceland,13.751769092245281
Ireland,60.74430597909349
Italy,24.09759892613581
Luxembourg,45.07102536735798
Netherlands,5.3582946089653225
Nicaragua,111.38873966247807
Norway,501.17363560393363
Panama,203.85385767204636
Peru,24.129730168853378
Portugal,20.700673464104018
Sweden,56.15013290979773
Switzerland,0.6466867121570112
Trinidad and Tobago,123.49550460004535
United Kingdom,5.760808244016627
Uruguay,1.9959385462486692
