country,year,pop,gdppc,growth,mm,loess_trend,regimes
Spain,1868-01-01,16088,1698.7675035479258,NA,NA,NA,Unclassified
Spain,1869-01-01,16144,1757.92802840513,0.03482555719581737,NA,0.03482555719581737,Unclassified
Spain,1870-01-01,16201,1806.456309295334,0.02760538549136804,NA,0.02760538549136804,Unclassified
Spain,1871-01-01,16258,1945.427360907923,0.07693020356899694,NA,0.07693020356899694,Unclassified
Spain,1872-01-01,16315,2242.9653817361404,0.15294224128181155,NA,0.15294224128181155,Unclassified
Spain,1873-01-01,16372,2423.90660503451,0.08067053766042265,NA,0.0806705376604227,Unclassified
Spain,1874-01-01,16429,2212.928424532403,-0.08704055678708933,NA,-0.0888503742266838,Unclassified
Spain,1875-01-01,16487,2273.853091551616,0.027531241563805597,NA,-0.004107269153063413,Bourbon Restoration
Spain,1876-01-01,16545,2343.200584124242,0.030497789338406633,NA,0.03522981147074155,Bourbon Restoration
Spain,1877-01-01,16603,2598.252791621509,0.10884779101938946,0.050312243370325437,0.11223898684864467,Bourbon Restoration
Spain,1878-01-01,16677,2492.020079848089,-0.04088621096299194,0.0411923979369937,0.018605563743046505,Bourbon Restoration
Spain,1879-01-01,16768,2313.5200484261636,-0.07162864892838527,0.030546977324573434,-0.06393875768602893,Bourbon Restoration
Spain,1880-01-01,16859,2517.07559103517,0.08798520797236264,0.036584959572672895,0.02751324951832049,Bourbon Restoration
Spain,1881-01-01,16951,2534.708578590474,0.007005346846994165,0.029592473900472614,0.017973464166207008,Bourbon Restoration
Spain,1882-01-01,17043,2544.2920289658746,0.003780888444670616,0.014676338616758522,0.010597770480723072,Bourbon Restoration
Spain,1883-01-01,17136,2579.8380641560116,0.01397089437275989,0.0080063742879922465,0.012973097893676202,Bourbon Restoration
Spain,1884-01-01,17230,2587.094644384827,0.0028128045436794924,0.016991710421069128,0.007558944199438864,Bourbon Restoration
Spain,1885-01-01,17323,2490.2952868895336,-0.037416241305818554,0.010496962134106714,-0.018914095920474414,Bourbon Restoration
Spain,1886-01-01,17418,2432.0482596409374,-0.023389606668431928,0.005108222533422857,-0.026803234611128088,Bourbon Restoration
Spain,1887-01-01,17513,2378.44576565618,-0.022040061817141465,-0.007980562750230236,-0.029994114409697337,Bourbon Restoration
Spain,1888-01-01,17600,2472.120964733228,0.03938504734044446,4.656308011340427e-5,2.631193642506635e-4,Bourbon Restoration
Spain,1889-01-01,17678,2465.8533076077724,-0.0025353359381958818,0.006955894379132343,0.0017947594647708415,Bourbon Restoration
Spain,1890-01-01,17757,2459.6170115845034,-0.002529062050864339,-0.002095532623190355,0.0018688684698068402,Bourbon Restoration
Spain,1891-01-01,17836,2506.0656557088364,0.01888450271142439,-9.076170367473324e-4,0.011913191675966975,Bourbon Restoration
Spain,1892-01-01,17916,2716.7375926575505,0.08406481149797562,0.007120775268583168,0.04818954424228449,Bourbon Restoration
Spain,1893-01-01,17996,2599.663202241526,-0.04309374255814702,0.0014143115754924774,0.01759167441297603,Bourbon Restoration
Spain,1894-01-01,18076,2629.2671177262205,0.011387596462175908,0.0022717907673421188,0.017934736480277796,Bourbon Restoration
Spain,1895-01-01,18157,2584.8320355673004,-0.016900177946677197,0.004323397103256255,0.0058050780705579345,Bourbon Restoration
Spain,1896-01-01,18238,2328.1600686765682,-0.09929928264541943,-0.0032675704944424957,-0.039444036517982665,Bourbon Restoration
Spain,1897-01-01,18320,2465.8978994256045,0.0591616670185966,0.004852602389131311,-0.008743394964492036,Bourbon Restoration
Spain,1898-01-01,18402,2624.471742624925,0.06430673518001617,0.007344771173088483,0.020060871027511563,Bourbon Restoration
Spain,1899-01-01,18484,2632.6386716970746,0.003111837304059284,0.007909488497313998,0.016053853051095027,Bourbon Restoration
Spain,1900-01-01,18566,2672.390528137885,0.015099624900360986,0.009672357192436531,0.01742119999669883,Bourbon Restoration
Spain,1901-01-01,18659,2881.452193308822,0.07823020736292263,0.015606927657586357,0.04486188319946649,Bourbon Restoration
Spain,1902-01-01,18788,2736.106361336982,-0.050441868273697454,0.002156259680419048,0.011859162360980778,Bourbon Restoration
Spain,1903-01-01,18919,2708.8139901148097,-0.00997489410785768,0.005468144525447982,0.002810308583163755,Bourbon Restoration
Spain,1904-01-01,19050,2657.078907099109,-0.019098794972447708,0.0024195053819856204,-0.007952978872655295,Bourbon Restoration
Spain,1905-01-01,19133,2618.8733699084255,-0.014378774032117403,0.0026716457734416,-0.014102891052874413,Bourbon Restoration
Spain,1906-01-01,19316,2770.938309954853,0.05806502207922515,0.01840807624590606,0.011964918952548758,Bourbon Restoration
Spain,1907-01-01,19450,2824.1585309385746,0.01920657013276794,0.014412566557323193,0.015846564598622822,Bourbon Restoration
Spain,1908-01-01,19585,2912.796968932279,0.03138578696014149,0.011120471735335724,0.023547215950535536,Bourbon Restoration
Spain,1909-01-01,19721,2974.25662855563,0.02109987763612642,0.012919275768542437,0.024817439472761695,Bourbon Restoration
Spain,1910-01-01,19858,2819.2628921578753,-0.05211175623168174,0.006198137655338165,-0.0054053706058359114,Bourbon Restoration
Spain,1911-01-01,19994,3023.661607604876,0.07250076465574051,0.005625193384619953,0.023703735944560714,Bourbon Restoration
Spain,1912-01-01,20128,2911.0817455801007,-0.03723295680363936,0.0069460845316257624,6.235983381208425e-4,Bourbon Restoration
Spain,1913-01-01,20263,3063.3094675396433,0.05229249305371453,0.013172823247782984,0.02076434785711458,Bourbon Restoration
Spain,1914-01-01,20398,2958.194601232216,-0.034314151874395016,0.011651287557588253,2.499063697748022e-4,Bourbon Restoration
Spain,1915-01-01,20535,2968.585309946987,0.0035125169623535513,0.013440416657035348,-1.1877415591222875e-4,Bourbon Restoration
Spain,1916-01-01,20673,3072.8033037933355,0.03510695599588809,0.011144610048701643,0.012702492296811512,Bourbon Restoration
Spain,1917-01-01,20811,3010.177803822913,-0.020380575578369142,0.007185895477587934,-0.001154132083074042,Bourbon Restoration
Spain,1918-01-01,20950,2975.6110720928564,-0.011483285700318757,0.0028989882115419085,-0.008445049162513582,Bourbon Restoration
Spain,1919-01-01,21091,3020.8366679875267,0.015198759111640703,0.002308876359093337,-0.002141924589370214,Bourbon Restoration
Spain,1920-01-01,21232,3239.318491284229,0.07232493752873248,0.01475254573513476,0.0278899815790475,Bourbon Restoration
Spain,1921-01-01,21411,3317.854156186495,0.02424450238949194,0.009926919508509902,0.03151928897049812,Bourbon Restoration
Spain,1922-01-01,21628,3423.2195190780767,0.031757080911804625,0.0168259232800543,0.037276458571858254,Bourbon Restoration
Spain,1923-01-01,21847,3428.846087808965,0.0016436482380199902,0.011761038798484846,0.02834020847959224,Primo Rivera Dictatorship
Spain,1924-01-01,22069,3513.8266962125763,0.02478402536227975,0.017670856522152324,0.029860278496502524,Primo Rivera Dictatorship
Spain,1925-01-01,22292,3720.185918324963,0.05872777457545464,0.02319238228346243,0.0441438184207009,Primo Rivera Dictatorship
Spain,1926-01-01,22518,3645.5854593492836,-0.020052884617462574,0.017676398222127365,0.020769254509986925,Primo Rivera Dictatorship
Spain,1927-01-01,22747,3954.177610202562,0.08464817360456567,0.028179273140420846,0.04579764416988183,Primo Rivera Dictatorship
Spain,1928-01-01,22977,3901.835047419555,-0.013237281665839373,0.028003873543868785,0.02364158022895655,Primo Rivera Dictatorship
Spain,1929-01-01,23210,4168.519995391672,0.06834859616848399,0.033318857249553115,0.0399393867363254,Primo Rivera Dictatorship
Spain,1930-01-01,23445,3918.263297152237,-0.06003490411851098,0.020082873084828767,-9.002333443323511e-4,Second Republic
Spain,1931-01-01,23675,3781.938558260956,-0.03479213328781672,0.014179209517097901,-0.022289461488881883,Second Republic
Spain,1932-01-01,23897,3851.0339446991015,0.01826983314872188,0.012830484740789627,-0.015318591462509877,Second Republic
