Predictor,Spain,Synthetic Spain,Sample,diff_synth,diff_sample,improvement_pct
pop.mean.1970.1979,35.5457,35.5529,17.9744,-0.0072,17.5713,99.9592
gdpcap.mean.1970.1979,21683.3059,28201.5837,19446.2494,-6518.2779,2237.0564,-191.3774
hc.mean.1970.1979,2.1213,2.2827,2.1965,-0.1614,-0.0752,-114.5743
csh_c.mean.1970.1979,0.6826,0.6823,0.6426,2e-4,0.0399,99.3815
csh_i.mean.1970.1979,0.2476,0.2629,0.2452,-0.0153,0.0024,-523.7463
csh_g.mean.1970.1979,0.1037,0.0749,0.1575,0.0289,-0.0538,46.2978
csh_x.mean.1970.1979,0.054,0.0911,0.1927,-0.0371,-0.1387,73.2628
csh_m.mean.1970.1979,-0.1181,-0.114,-0.2472,-0.004,0.1291,96.8707
rknacapita.mean.1970.1979,95990.2098,95988.6612,84058.7016,1.5486,11931.5082,99.987
