Country,ppratio
Spain,0.3459614865432408
Argentina,0.6552467264090128
Austria,9.687834897121476
Belgium,17.632272464336047
Brazil,11.309440696509826
Canada,5.678148028961821
Chile,8.721262939318281
Colombia,13.271373995935383
Costa Rica,1.5959890233902851
Cyprus,48.748990464235966
Denmark,0.8664132317378707
Ecuador,16.931957064004557
El Salvador,1.3519373128275922
Finland,11.057773826369823
France,2.1011779370571326
Germany,3.3419998343327557
Guatemala,1.180324565026644
Honduras,0.9532381572772943
Iceland,9.024213325084704
Ireland,7.021824889831085
Italy,0.2351142806381435
Luxembourg,1.16188157086954
Netherlands,27.293333272555618
Nicaragua,24.053196601121748
Norway,22.238309256607216
Panama,58.2171448390153
Peru,15.50888149071436
Portugal,24.492988402581133
Sweden,10.229803628067254
Switzerland,65.47982937555602
Trinidad and Tobago,0.5009970438747204
United Kingdom,23.741521778181735
Uruguay,29.91917659714678
