Predictor,Spain,Synthetic Spain,Sample,diff_synth,diff_sample,improvement_pct
pop.mean.1950.1959,29.1444,29.1442,13.2798,2e-4,15.8646,99.9986
gdpcap.mean.1950.1959,7622.1257,12679.5811,10837.1952,-5057.4554,-3215.0695,-57.3047
hc.mean.1950.1959,1.884,1.8836,1.9305,4e-4,-0.0465,99.1532
csh_c.mean.1950.1959,0.7563,0.7188,0.6751,0.0375,0.0811,53.7751
csh_g.mean.1950.1959,0.093,0.1163,0.1224,-0.0232,-0.0294,20.8334
csh_x.mean.1950.1959,0.0168,0.0815,0.1512,-0.0647,-0.1344,51.8841
csh_m.mean.1950.1959,-0.039,-0.0782,-0.1888,0.0392,0.1499,73.8572
rknacapita.mean.1950.1959,30923.1198,36551.0966,41736.216,-5627.9768,-10813.0962,47.9522
