country,year,pop,rgdpnapc,growth,mm,hp_one_sided,regimes
Spain,1850-01-01,14894,2017,NA,NA,NA,Unclassified
Spain,1851-01-01,14974,2036,0.009419930589985137,NA,NA,Unclassified
Spain,1852-01-01,15055,2113,0.037819253438113876,NA,NA,Unclassified
Spain,1853-01-01,15136,2113,0,NA,NA,Unclassified
Spain,1854-01-01,15217,2134,0.009938476100331384,NA,NA,Unclassified
Spain,1855-01-01,15299,2238,0.04873477038425489,NA,NA,Unclassified
Spain,1856-01-01,15381,2129,-0.048704200178731005,NA,NA,Unclassified
Spain,1857-01-01,15455,2061,-0.03193987787693753,NA,NA,Unclassified
Spain,1858-01-01,15526,2100,0.018922852983988436,NA,NA,Unclassified
Spain,1859-01-01,15584,2202,0.04857142857142849,0.010306959334714852,NA,Unclassified
Spain,1860-01-01,15642,2284,0.037238873751135326,0.013000150776356901,NA,Unclassified
Spain,1861-01-01,15699,2286,8.756567425569628e-4,0.012145723391614082,NA,Unclassified
Spain,1862-01-01,15754,2286,0,0.008363798047802695,NA,Unclassified
Spain,1863-01-01,15809,2318,0.013998250218722585,0.009763623069674954,NA,Unclassified
Spain,1864-01-01,15864,2302,-0.00690250215703192,0.008079525243938623,NA,Unclassified
Spain,1865-01-01,15920,2206,-0.04170286707211124,-9.642385016979893e-4,NA,Unclassified
Spain,1866-01-01,15976,2339,0.06029011786038074,0.009935193302213185,NA,Unclassified
Spain,1867-01-01,16032,2303,-0.015391192817443389,0.0115900618081626,NA,Unclassified
Spain,1868-01-01,16088,2012,-0.12635692574902302,-0.002937916065138546,NA,Unclassified
Spain,1869-01-01,16144,2082,0.03479125248508952,-0.004315933673772443,NA,Democratic Sexennium
Spain,1870-01-01,16201,2140,0.02785782901056666,-0.0052540381478293095,NA,Democratic Sexennium
Spain,1871-01-01,16258,2305,0.07710280373831768,0.002368676551746762,NA,Democratic Sexennium
Spain,1872-01-01,16315,2657,0.152711496746204,0.017639826226367162,NA,Democratic Sexennium
Spain,1873-01-01,16372,2871,0.08054196462175378,0.02429419766667028,NA,Democratic Sexennium
Spain,1874-01-01,16429,2621,-0.08707767328456983,0.01627668055391649,NA,Democratic Sexennium
Spain,1875-01-01,16487,2694,0.027851964898893522,0.023232163751016964,NA,Unclassified
Spain,1876-01-01,16545,2776,0.03043801039346694,0.020246953004325587,NA,Unclassified
Spain,1877-01-01,16603,3078,0.10878962536023051,0.03266503482209297,NA,Bourbon Restoration
Spain,1878-01-01,16677,2952,-0.040935672514619936,0.041207160145533286,NA,Bourbon Restoration
Spain,1879-01-01,16768,2741,-0.07147696476964771,0.030580338420059562,NA,Bourbon Restoration
Spain,1880-01-01,16859,2982,0.08792411528639188,0.03658696704764208,NA,Bourbon Restoration
Spain,1881-01-01,16951,3003,0.007042253521126751,0.02958091202592299,NA,Bourbon Restoration
Spain,1882-01-01,17043,3014,0.00366300366300365,0.014676062717602956,NA,Bourbon Restoration
Spain,1883-01-01,17136,3056,0.013934970139349634,0.00801536326936254,NA,Bourbon Restoration
Spain,1884-01-01,17230,3065,0.0029450261780104015,0.017017633215620564,NA,Bourbon Restoration
Spain,1885-01-01,17323,2950,-0.037520391517128826,0.01048039757401833,NA,Bourbon Restoration
Spain,1886-01-01,17418,2881,-0.02338983050847454,0.005097613483824181,NA,Bourbon Restoration
Spain,1887-01-01,17513,2818,-0.021867407150295004,-0.00796808976722837,NA,Bourbon Restoration
Spain,1888-01-01,17600,2929,0.03938963804116402,6.444128835002561e-5,NA,Bourbon Restoration
Spain,1889-01-01,17678,2921,-0.0027313076135199177,0.0069390070039628046,NA,Bourbon Restoration
Spain,1890-01-01,17757,2914,-0.002396439575487852,-0.0020930484822251683,NA,Bourbon Restoration
Spain,1891-01-01,17836,2969,0.018874399450926616,-9.098338892451818e-4,NA,Bourbon Restoration
Spain,1892-01-01,17916,3218,0.08386662175816784,0.007110527920271237,NA,Bourbon Restoration
Spain,1893-01-01,17996,3080,-0.04288377874456184,0.0014286530318800895,NA,Bourbon Restoration
Spain,1894-01-01,18076,3115,0.011363636363636465,0.0022705140504426955,NA,Bourbon Restoration
Spain,1895-01-01,18157,3062,-0.01701444622792936,0.004321108579362643,NA,Bourbon Restoration
Spain,1896-01-01,18238,2758,-0.09928151534944485,-0.0032680599047343883,NA,Bourbon Restoration
Spain,1897-01-01,18320,2921,0.05910079767947796,0.004828760578242908,NA,Bourbon Restoration
Spain,1898-01-01,18402,3109,0.06436152002738793,0.007325948776865298,NA,Bourbon Restoration
Spain,1899-01-01,18484,3119,0.0032164683177871023,0.007920726369996,NA,Bourbon Restoration
Spain,1900-01-01,18566,3166,0.015068932350112307,0.009667263562556016,NA,Bourbon Restoration
Spain,1901-01-01,18659,3413,0.07801642451042334,0.01558146606850569,NA,Bourbon Restoration
Spain,1902-01-01,18788,3241,-0.05039554644008204,0.0021552492486807016,NA,Bourbon Restoration
Spain,1903-01-01,18919,3209,-0.00987349583461894,0.005456277539674992,NA,Bourbon Restoration
Spain,1904-01-01,19050,3148,-0.01900903708320345,0.0024190101949910004,NA,Bourbon Restoration
Spain,1905-01-01,19133,3102,-0.014612452350698857,0.0026592095827140507,NA,Bourbon Restoration
Spain,1906-01-01,19316,3283,0.05834945196647334,0.01842230631430587,NA,Bourbon Restoration
Spain,1907-01-01,19450,3346,0.019189765458422103,0.014431203092200284,NA,Bourbon Restoration
Spain,1908-01-01,19585,3451,0.03138075313807542,0.011133126403269033,NA,Bourbon Restoration
Spain,1909-01-01,19721,3523,0.02086351782092155,0.012897831353582478,NA,Bourbon Restoration
Spain,1910-01-01,19858,3340,-0.05194436559750215,0.006196501558821033,NA,Bourbon Restoration
Spain,1911-01-01,19994,3582,0.07245508982035931,0.0056403680898146295,NA,Bourbon Restoration
Spain,1912-01-01,20128,3449,-0.037130094919039625,0.00696691324191887,NA,Bourbon Restoration
Spain,1913-01-01,20263,3629,0.05218904030153659,0.013173166855534425,NA,Bourbon Restoration
Spain,1914-01-01,20398,3504,-0.034444750620005515,0.011629595501854217,NA,Bourbon Restoration
Spain,1915-01-01,20535,3517,0.003710045662100425,0.013461845303134146,NA,Bourbon Restoration
Spain,1916-01-01,20673,3640,0.03497298834233731,0.011124198940720541,NA,Bourbon Restoration
Spain,1917-01-01,20811,3566,-0.02032967032967037,0.007172255361911295,NA,Bourbon Restoration
Spain,1918-01-01,20950,3525,-0.01149747616376895,0.0028844324317268575,NA,Bourbon Restoration
Spain,1919-01-01,21091,3579,0.015319148936170146,0.002329995543251717,NA,Bourbon Restoration
Spain,1920-01-01,21232,3837,0.07208717518860008,0.014733149621861941,NA,Bourbon Restoration
Spain,1921-01-01,21411,3930,0.024237685691946842,0.009911409209020694,NA,Bourbon Restoration
Spain,1922-01-01,21628,4055,0.03180661577608146,0.0168050802785328,NA,Unclassified
Spain,1923-01-01,21847,4062,0.0017262638717632228,0.011758802635555465,NA,Unclassified
Spain,1924-01-01,22069,4163,0.024864598719842368,0.017689737569540252,NA,Primo Rivera Dictatorship
Spain,1925-01-01,22292,4407,0.058611578188806135,0.023179890822210825,NA,Primo Rivera Dictatorship
Spain,1926-01-01,22518,4319,-0.019968232357612914,0.0176857687522158,NA,Primo Rivera Dictatorship
Spain,1927-01-01,22747,4684,0.08451030331095155,0.028169766116277993,NA,Primo Rivera Dictatorship
Spain,1928-01-01,22977,4622,-0.013236549957301502,0.02799585873692474,NA,Primo Rivera Dictatorship
Spain,1929-01-01,23210,4938,0.06836867157074855,0.03330081100038258,NA,Primo Rivera Dictatorship
Spain,1930-01-01,23445,4642,-0.05994329688132849,0.020097763793389723,NA,Unclassified
Spain,1931-01-01,23675,4480,-0.03489875053856095,0.014184120170338942,NA,Unclassified
Spain,1932-01-01,23897,4562,0.01830357142857153,0.01283381573558795,NA,Second Republic
Spain,1933-01-01,24122,4366,-0.04296361245067948,0.00836482810334368,NA,Second Republic
Spain,1934-01-01,24349,4475,0.02496564360971143,0.008374932592330585,NA,Second Republic
Spain,1935-01-01,24579,4504,0.0064804469273742615,0.0031618194661873988,NA,Unclassified
Spain,1936-01-01,24810,3402,-0.24467140319715808,-0.019308497617767116,NA,Unclassified
Spain,1937-01-01,25043,3139,-0.07730746619635509,-0.03549027456849778,NA,Civil War
Spain,1938-01-01,25279,3119,-0.006371455877668075,-0.03480376516053444,NA,Civil War
Spain,1939-01-01,25517,3413,0.09426098108368075,-0.03221453420924122,NA,Unclassified
Spain,1940-01-01,25757,3752,0.09932610606504544,-0.016287593914603826,NA,Unclassified
Spain,1941-01-01,25979,3776,0.006396588486140775,-0.012158060012133654,NA,Francoism
Spain,1942-01-01,26182,4015,0.06329449152542366,-0.007658968002448441,NA,Francoism
Spain,1943-01-01,26387,4201,0.04632627646326282,0.0012700208889457887,NA,Francoism
Spain,1944-01-01,26594,4349,0.03522970721256846,0.002296427249231492,NA,Francoism
Spain,1945-01-01,26802,3972,-0.08668659461945272,-0.007020276905451206,NA,Francoism
Spain,1946-01-01,27012,4109,0.03449144008056404,0.020896007422321006,NA,Francoism
Spain,1947-01-01,27223,4157,0.01168167437332679,0.029794921479289194,NA,Francoism
Spain,1948-01-01,27437,4115,-0.010103439980755358,0.029421723068980464,NA,Francoism
Spain,1949-01-01,27651,4064,-0.012393681652490884,0.018756256795363302,NA,Francoism
Spain,1950-01-01,28063,4098,0.00836614173228356,0.009660260362087114,NA,Francoism
Spain,1951-01-01,28298,4485,0.09443631039531475,0.01846423255300451,NA,Francoism
Spain,1952-01-01,28550,4856,0.08272017837235235,0.02040680123769738,NA,Francoism
Spain,1953-01-01,28804,4812,-0.00906095551894559,0.01486807803947654,NA,Francoism
Spain,1954-01-01,29060,5120,0.06400665004156281,0.017745772322375973,NA,Francoism
Spain,1955-01-01,29319,5256,0.026562500000000044,0.02907068178432125,NA,Francoism
Spain,1956-01-01,29579,5644,0.07382039573820398,0.033003577350085245,NA,Francoism
Spain,1957-01-01,29842,5797,0.027108433734939652,0.03454625328624653,NA,Francoism
Spain,1958-01-01,30106,6123,0.056235984129722194,0.04118019569729429,NA,Francoism
Spain,1959-01-01,30373,6017,-0.01731177527355876,0.040688386335187496,NA,Francoism
Spain,1960-01-01,30641,5960,-0.00947315938175175,0.03890445622378397,NA,Francoism
Spain,1961-01-01,30904,6611,0.10922818791946298,0.04038364397619879,NA,Francoism
Spain,1962-01-01,31158,7197,0.0886401452125245,0.04097564066021601,NA,Francoism
Spain,1963-01-01,31430,7854,0.09128803668195085,0.05101053988030565,NA,Francoism
Spain,1964-01-01,31741,8218,0.04634581105169344,0.04924445598131871,NA,Francoism
Spain,1965-01-01,32085,8778,0.0681431005110733,0.05340251603242604,NA,Francoism
Spain,1966-01-01,32452,9324,0.062200956937799035,0.05224057215238555,NA,Francoism
Spain,1967-01-01,32850,9719,0.042363792363792285,0.053766108015270805,NA,Francoism
Spain,1968-01-01,33239,10183,0.04774153719518459,0.05291666332181705,NA,Francoism
Spain,1969-01-01,33566,11012,0.08141019345968781,0.06278886019514171,NA,Francoism
Spain,1970-01-01,33876,11253,0.02188521612786043,0.06592469774610292,NA,Francoism
Spain,1971-01-01,34195,11705,0.04016706656002844,0.05901858561015947,NA,Francoism
Spain,1972-01-01,34513,12773,0.09124305852199921,0.05927887694110694,NA,Francoism
Spain,1973-01-01,34837,13770,0.07805527284114921,0.057955600557026775,NA,Francoism
Spain,1974-01-01,35184,14658,0.06448801742919397,0.05976982119477683,NA,Francoism
Spain,1975-01-01,35564,14933,0.01876108609632965,0.05483161975330246,NA,Unclassified
Spain,1976-01-01,35997,15443,0.03415254804794743,0.0520267788643173,NA,Unclassified
Spain,1977-01-01,36439,15784,0.022081201839020848,0.049998519811840156,NA,Unclassified
Spain,1978-01-01,36861,16058,0.0173593512417638,0.04696030121649808,NA,Unclassified
Spain,1979-01-01,37200,16186,0.007971104745298385,0.039616392345059134,NA,Current Democracy
