Predictor,Spain,Synthetic Spain,Sample,diff_synth,diff_sample,improvement_pct
pop.mean.1970.1979,35.5457,85.8148,16.7561,-50.2691,18.7896,-167.5362
gdpcap.mean.1970.1979,21683.3059,17993.7274,19629.204,3689.5785,2054.1018,-79.62
hc.mean.1970.1979,2.1213,1.7948,2.2081,0.3265,-0.0868,-276.2938
csh_c.mean.1970.1979,0.6826,0.6634,0.639,0.0191,0.0436,56.0858
csh_g.mean.1970.1979,0.1037,0.1096,0.1603,-0.0059,-0.0566,89.5885
csh_x.mean.1970.1979,0.054,0.0725,0.1977,-0.0185,-0.1437,87.1107
csh_m.mean.1970.1979,-0.1181,-0.0961,-0.2534,-0.0219,0.1353,83.7975
rknacapita.mean.1970.1979,95990.2098,56335.3924,85394.981,39654.8174,10595.2288,-274.2705
