Predictor,Spain,Synthetic Spain,Sample,diff_synth,diff_sample,improvement_pct
pop.mean.1950.1959,29.1444,37.9821,13.8466,-8.8377,15.2978,42.2293
gdpcap.mean.1950.1959,7622.1257,9072.5366,10720.8182,-1450.411,-3098.6925,53.1928
hc.mean.1950.1959,1.884,1.7036,1.9184,0.1804,-0.0343,-425.4589
csh_c.mean.1950.1959,0.7563,0.7469,0.6811,0.0094,0.0752,87.5065
csh_i.mean.1950.1959,0.1679,0.2173,0.2337,-0.0494,-0.0658,24.9888
csh_g.mean.1950.1959,0.093,0.0946,0.1196,-0.0016,-0.0265,93.9534
csh_x.mean.1950.1959,0.0168,0.0504,0.1478,-0.0336,-0.131,74.3679
csh_m.mean.1950.1959,-0.039,-0.0894,-0.185,0.0504,0.146,65.5051
rknacapita.mean.1950.1959,30923.1198,30918.6494,41002.177,4.4704,-10079.0571,99.9556
