Country,ppratio
Spain,0.2837540522418074
Argentina,0.5093695259126524
Austria,5.193496794218134
Belgium,1.6736403900284706
Brazil,3.2773995134547804
Canada,21.95298678168353
Colombia,4.035094164964139
Costa Rica,5.411840157630769
Cyprus,3.405803903910863
Denmark,5.684429212676813
Ecuador,3.8679232615776122
El Salvador,0.6167186331400577
Finland,16.508954116327395
France,0.2750406727198588
Germany,7.434487553715711
Guatemala,2.79286450053399
Honduras,2.7772973164802623
Iceland,16.675032712801634
Ireland,14.951951511720946
Italy,11.085592542382463
Luxembourg,14.816092063225165
Mexico,8.844785355352231
Netherlands,6.6158389509473965
Nicaragua,5.1631685204646836
Norway,9.99394563420042
Panama,40.798452524568404
Peru,1.8341446646120747
Portugal,4.1481723289457015
Sweden,8.075342155665856
Switzerland,16.18094758773442
Trinidad and Tobago,3.986017061706481
United Kingdom,23.924092320305718
Uruguay,5.622834935954612
