Predictor,Spain,Synthetic Spain,Sample,diff_synth,diff_sample,improvement_pct
pop.mean.1950.1959,29.1444,17.8677,13.8466,11.2767,15.2978,26.2855
gdpcap.mean.1950.1959,7622.1257,8617.9688,10720.8182,-995.8432,-3098.6925,67.8625
hc.mean.1950.1959,1.884,1.869,1.9184,0.015,-0.0343,56.3265
csh_c.mean.1950.1959,0.7563,0.7334,0.6811,0.0229,0.0752,69.5163
csh_g.mean.1950.1959,0.093,0.0915,0.1196,0.0015,-0.0265,94.3271
csh_x.mean.1950.1959,0.0168,0.0534,0.1478,-0.0366,-0.131,72.0367
csh_m.mean.1950.1959,-0.039,-0.0783,-0.185,0.0393,0.146,73.1037
rknacapita.mean.1950.1959,30923.1198,30923.1355,41002.177,-0.0157,-10079.0571,99.9998
