Country,ppratio
Spain,1912.8696796970946
Argentina,123.23411328099124
Austria,601.4457433211884
Belgium,169.38743727132336
Brazil,145.7699494906679
Canada,54.30458487975747
Colombia,13.862019804069782
Costa Rica,4.875026355077531
Cyprus,168.86415669637418
Denmark,24.966702066364793
Ecuador,1211.840188040363
El Salvador,896.7042543794231
Finland,14.136128655282445
France,512.4863250845148
Germany,3.753116057421328
Guatemala,32.96259217759549
Honduras,154.75650669234992
Iceland,80.31724712752106
Ireland,13.176938844926564
Italy,353.40879489964595
Luxembourg,60.99655722424817
Mexico,92.38993108959158
Netherlands,116.30270343599578
Nicaragua,345.9512594399826
Norway,698.0960253224332
Panama,347.27819858484656
Peru,8390.507250738829
Portugal,2483.770326188103
Sweden,649.5169991302557
Switzerland,2.0716762243399893
Trinidad and Tobago,108.91610230177687
United Kingdom,5939.0381812371625
Uruguay,48.932753874626925
