Country,p_value_less
1,0.2
2,0.475
3,0.875
4,0.95
5,0.975
6,0.925
7,0.975
8,0.975
9,0.95
10,0.925
11,0.975
12,0.95
13,0.925
14,0.925
15,0.925
16,0.925
17,0.95
