Predictor,Spain,Synthetic Spain,Sample,diff_synth,diff_sample,improvement_pct
pop.mean.1970.1979,35.5457,41.3992,17.9744,-5.8535,17.5713,66.6873
hc.mean.1970.1979,2.1213,2.1213,2.1965,-0,-0.0752,99.9993
gdpcap.mean.1970.1979,21683.3059,21672.9915,19446.2494,10.3143,2237.0564,99.5389
csh_c.mean.1970.1979,0.6826,0.625,0.6426,0.0576,0.0399,-44.1633
csh_i.mean.1970.1979,0.2476,0.2482,0.2452,-5e-4,0.0024,79.2832
csh_g.mean.1970.1979,0.1037,0.1139,0.1575,-0.0102,-0.0538,81.0087
csh_x.mean.1970.1979,0.054,0.1063,0.1927,-0.0523,-0.1387,62.2797
csh_m.mean.1970.1979,-0.1181,-0.1189,-0.2472,8e-4,0.1291,99.3541
rknacapita.mean.1970.1979,95990.2098,95990.1214,84058.7016,0.0884,11931.5082,99.9993
