country,reason
Albania,No data in pre for pop
Albania,No data in pre for gdpcap
Albania,No data in pre for hc
Albania,No data in pre for csh_c
Albania,No data in pre for csh_i
Albania,No data in pre for csh_g
Albania,No data in pre for csh_x
Albania,No data in pre for csh_m
Albania,No data in pre for rknacapita
Albania,Has NA in pop
Albania,Has NA in gdpcap
Albania,Has NA in hc
Albania,Has NA in csh_c
Albania,Has NA in csh_i
Albania,Has NA in csh_g
Albania,Has NA in csh_x
Albania,Has NA in csh_m
Albania,Has NA in rknacapita
Chile,Has NA in pop
Chile,Has NA in gdpcap
Chile,Has NA in hc
Chile,Has NA in csh_c
Chile,Has NA in csh_i
Chile,Has NA in csh_g
Chile,Has NA in csh_x
Chile,Has NA in csh_m
Chile,Has NA in rknacapita
