Country,ppratio
Spain,6.240653571450295
Albania,63.668587010331095
Argentina,151.86047407623025
Austria,1.1746671783729634
Belgium,486.0536046007498
Brazil,2.426367368402872
Canada,405.73924633056663
Chile,6.239446625605244
Colombia,340.02902172641217
Costa Rica,224.53581848478342
Cyprus,110.94139701709076
Denmark,2.6866556332103846
Ecuador,0.5392658235303452
El Salvador,82.23866836120054
Finland,35.77217342822198
Germany,89.63472427986545
Guatemala,219.56480242014533
Honduras,1.2535265815732166
Iceland,169.07992416105446
Ireland,578.7699239929843
Italy,67.91816277852479
Luxembourg,402.75740419416184
Mexico,27.145918480957715
Netherlands,6.414680178331918
Nicaragua,12.579791659581382
Norway,12.795350908974928
Panama,108.68279318753105
Peru,6.944021220833762
Portugal,198.2452502733233
Sweden,5.070222201994819
Switzerland,0.12232993299322581
Trinidad and Tobago,572.6968597606757
United Kingdom,21.429883197624473
Uruguay,134.08637290455925
