regimes,start_year,end_year,duration_years,CAGR
Bourbon Restoration,1876-01-01,1921-01-01,45,0.007754990559555974
Primo Rivera Dictatorship,1924-01-01,1929-01-01,5,0.03473451290433638
Second Republic,1932-01-01,1934-01-01,2,-0.009581191150732193
Civil War,1937-01-01,1938-01-01,1,-0.006371455877668075
Francoism,1941-01-01,1974-01-01,33,0.0419569594462037
Current Democracy,1979-01-01,2015-01-01,36,0.018977734026840665
