year,Spain,Western_Europe,Share
1910-01-01,3340,6038.931325049197,0.5530779901645578
1911-01-01,3582,6233.496882429083,0.5746373291846676
1912-01-01,3449,6417.282124572303,0.5374549432373394
1913-01-01,3629,6544.624134127694,0.5545009041964936
1914-01-01,3504,6046.208430816373,0.5795367526764011
1915-01-01,3517,5988.712503361118,0.5872714707921128
1916-01-01,3640,6174.067791699263,0.5895626874868146
1917-01-01,3566,5958.19679413462,0.598503225591751
1918-01-01,3525,5728.804632923775,0.6153116096404508
1919-01-01,3579,5478.056254430239,0.6533339260810939
1920-01-01,3837,5687.849532829356,0.6745959044544781
1921-01-01,3930,5704.83813331854,0.6888889584872226
1922-01-01,4055,6256.8802755733695,0.6480865577419742
1923-01-01,4062,6123.863422074321,0.6633067591543524
1924-01-01,4163,6602.377993263073,0.6305303943893907
1925-01-01,4407,6917.238784400441,0.6371039279341549
1926-01-01,4319,6962.433867459426,0.6203290519118412
1927-01-01,4684,7264.351328370595,0.6447926027072576
1928-01-01,4622,7529.605285187172,0.6138435980293362
1929-01-01,4938,7706.326144942531,0.6407722573798263
1930-01-01,4642,7539.475151539481,0.6156927248512986
1931-01-01,4480,7116.545620969254,0.6295189040592192
1932-01-01,4562,6843.644776095719,0.6666038564617915
1933-01-01,4366,7063.955907252097,0.618067278069745
1934-01-01,4475,7311.0594786199645,0.6120863895426414
1935-01-01,4504,7537.57432355938,0.5975397132632357
1936-01-01,3402,7810.787868315186,0.43555145234456655
1937-01-01,3139,8226.553613427204,0.3815692630844333
1938-01-01,3119,8412.631141377326,0.37075202128609597
1939-01-01,3413,8853.143147119197,0.38551279961067686
1940-01-01,3752,8637.103982200082,0.43440486622974217
1941-01-01,3776,8735.118096678803,0.4322780709096172
1942-01-01,4015,8571.73504710215,0.4683999187955947
1943-01-01,4201,8517.157176484836,0.49323969406113727
1944-01-01,4349,8196.983468198034,0.5305610310027932
1945-01-01,3972,7081.346514589868,0.5609102720529765
1946-01-01,4109,6623.770888820304,0.6203415047062134
1947-01-01,4157,7039.565545778692,0.5905193968245334
1948-01-01,4115,7493.4440878290425,0.5491466876604365
1949-01-01,4064,8069.604960256013,0.5036182093195138
1950-01-01,4098,8605.200095211938,0.4762236734367384
1951-01-01,4485,9059.387585705192,0.4950665768044721
1952-01-01,4856,9343.298631058758,0.5197307922769168
1953-01-01,4812,9806.63416177655,0.4906882341706798
1954-01-01,5120,10287.288496043348,0.4977016054297721
1955-01-01,5256,10895.401706912535,0.48240534322523937
1956-01-01,5644,11324.567119953437,0.4983854959061081
1957-01-01,5797,11762.061291475171,0.49285578916354666
1958-01-01,6123,11959.252996713787,0.5119884997568412
1959-01-01,6017,12489.773319025455,0.481754139671567
1960-01-01,5960,13225.92428231508,0.4506301316097324
1961-01-01,6611,13777.90550347234,0.479826196974125
1962-01-01,7197,14276.44362377768,0.504117144973925
1963-01-01,7854,14772.317524715538,0.531670131437365
1964-01-01,8218,15506.683968371404,0.5299650148775876
1965-01-01,8778,16011.09484911039,0.5482448316448343
1966-01-01,9324,16456.43531134101,0.5665868594017036
1967-01-01,9719,16898.514487831388,0.5751393122157955
1968-01-01,10183,17696.699872249093,0.5754180199421459
1969-01-01,11012,18572.13513997474,0.5929312874908887
1970-01-01,11253,19266.093879691125,0.5840831084012349
1971-01-01,11705,19753.77496709353,0.5925449702397928
1972-01-01,12773,20456.103507373206,0.6244102155327917
1973-01-01,13770,21454.347696949255,0.6418279499571107
1974-01-01,14658,21760.520534136445,0.6736052098112962
1975-01-01,14933,21539.475977709102,0.6932852041272476
1976-01-01,15443,22437.973192408128,0.6882528946609637
1977-01-01,15784,23016.621069848406,0.6857652976994488
1978-01-01,16058,23643.05229619389,0.67918472618635
1979-01-01,16186,24500.7869717551,0.6606318408734985
1980-01-01,16574,24816.74937234898,0.667855396825939
1981-01-01,16440,24804.844068626702,0.6627737692894187
1982-01-01,16618,24924.719576460808,0.6667276616301124
1983-01-01,16846,25337.605464217224,0.6648615641202004
