Predictor,Spain,Synthetic Spain,Sample,diff_synth,diff_sample,improvement_pct
pop.mean.1960.1969,31.9464,41.1957,15.975,-9.2493,15.9713,42.0881
hc.mean.1960.1969,1.9916,1.8871,2.0317,0.1044,-0.0402,-160.0841
gdpcap.mean.1960.1969,13769.0664,13768.3266,14398.7711,0.7398,-629.7047,99.8825
csh_c.mean.1960.1969,0.7084,0.7286,0.667,-0.0202,0.0414,51.2863
csh_i.mean.1960.1969,0.2163,0.232,0.2439,-0.0158,-0.0276,42.9393
csh_g.mean.1960.1969,0.1007,0.077,0.1297,0.0237,-0.029,18.0422
csh_x.mean.1960.1969,0.0326,0.0549,0.1581,-0.0223,-0.1255,82.2459
csh_m.mean.1960.1969,-0.0796,-0.0796,-0.2017,-0,0.1221,99.9611
rknacapita.mean.1960.1969,52563.6553,51050.1395,57585.4199,1513.5158,-5021.7646,69.8609
