Predictor,Spain,Synthetic Spain,Sample,diff_synth,diff_sample,improvement_pct
pop.mean.1960.1969,31.9464,31.5664,15.975,0.38,15.9713,97.6209
gdpcap.mean.1960.1969,13769.0664,14221.0589,14398.7711,-451.9925,-629.7047,28.2215
hc.mean.1960.1969,1.9916,1.9912,2.0317,4e-4,-0.0402,99.0142
csh_c.mean.1960.1969,0.7084,0.7282,0.667,-0.0198,0.0414,52.2727
csh_i.mean.1960.1969,0.2163,0.2163,0.2439,-0,-0.0276,99.9993
csh_g.mean.1960.1969,0.1007,0.1007,0.1297,-0,-0.029,100
csh_x.mean.1960.1969,0.0326,0.0599,0.1581,-0.0272,-0.1255,78.2884
csh_m.mean.1960.1969,-0.0796,-0.0852,-0.2017,0.0056,0.1221,95.4153
rknacapita.mean.1960.1969,52563.6553,49635.5326,57585.4199,2928.1226,-5021.7646,41.6914
