Country,ppratio
Spain,677.9161376484761
Argentina,4.935013301360406
Austria,74.94252249260903
Belgium,59.883629683397906
Brazil,29.529588179877557
Canada,5.598434719916319
Colombia,14.269148632785775
Costa Rica,20.60298665847112
Cyprus,8.106946673847018
Denmark,8.356954941042524
Ecuador,353.8646044721926
El Salvador,26.940280423716132
Finland,96.35904638733352
France,521.0895192976333
Germany,2.2884869915648034
Guatemala,8.290047432866862
Honduras,39.03651833727567
Iceland,8.378309685281067
Ireland,7.751183841032277
Italy,548.3032032652449
Luxembourg,24.711662340129347
Mexico,8.740399129429072
Netherlands,37.57682264388859
Nicaragua,15.671362789469523
Norway,12.283118932298159
Panama,362.3810969837981
Peru,628.7037729642544
Portugal,476.5336619487015
Sweden,65.2534451741072
Switzerland,2.6737585607264402
Trinidad and Tobago,6.9537248827824145
United Kingdom,701.4444196730533
Uruguay,72.74719008005297
