regimes,mean_growth
Bourbon Restoration,0.009217727436041451
Primo Rivera Dictatorship,0.033858394912572365
Second Republic,1.018675292011606e-4
Civil War,-0.04183946103701158
Francoism,0.04173081054917973
Current Democracy,0.018981022049215788
