Predictor,Spain,Synthetic Spain,Sample,diff_synth,diff_sample,improvement_pct
pop.mean.1970.1979,35.5457,17.4684,17.9486,18.0773,17.5971,-2.7286
hc.mean.1970.1979,2.1213,2.2613,2.5288,-0.1399,-0.4075,65.6578
gdpcap.mean.1970.1979,21683.3059,21683.3209,27155.8408,-0.015,-5472.5349,99.9997
csh_c.mean.1970.1979,0.6826,0.6331,0.5904,0.0495,0.0922,46.3349
csh_i.mean.1970.1979,0.2476,0.2477,0.301,-0,-0.0534,99.9284
csh_g.mean.1970.1979,0.1037,0.1475,0.1651,-0.0437,-0.0614,28.7461
csh_x.mean.1970.1979,0.054,0.1133,0.2526,-0.0593,-0.1986,70.1633
csh_m.mean.1970.1979,-0.1181,-0.1512,-0.3305,0.0332,0.2125,84.381
rknacapita.mean.1970.1979,95990.2098,95972.9742,125844.8533,17.2356,-29854.6435,99.9423
