year,Spain,Western_Europe,Share,Share_hp
1850-01-01,2017,3038.5178726996455,0.6638104775101905,NA
1851-01-01,2036,3113.602963625112,0.6539048246631683,NA
1852-01-01,2113,3217.0624982446284,0.6568103669583498,NA
1853-01-01,2113,3181.3220031154606,0.6641892892108201,NA
1854-01-01,2134,3226.849166203446,0.6613262319015552,NA
1855-01-01,2238,3157.5295004611025,0.7087819764385982,NA
1856-01-01,2129,3332.8394185167367,0.6387946530431702,NA
1857-01-01,2061,3462.5032832475795,0.5952340926206805,NA
1858-01-01,2100,3527.4215704914914,0.5953357028735858,NA
1859-01-01,2202,3468.9269435957617,0.6347784302766226,NA
1860-01-01,2284,3517.0384583191144,0.649410015576453,NA
1861-01-01,2286,3394.0942951860434,0.6735228314788748,0.6583102727871815
1862-01-01,2286,3505.1986498825986,0.6521741642450325,0.6603624765763283
1863-01-01,2318,3663.91661059061,0.6326563200974017,0.6474597084461613
1864-01-01,2302,3697.1917192585984,0.622634738687996,0.6325176015913373
1865-01-01,2206,3672.6454771670938,0.6006569416282469,0.6108659640454358
1866-01-01,2339,3698.4563224771773,0.6324260167099577,0.6185097508709101
1867-01-01,2303,3585.145295267988,0.6423728497251467,0.6310623666796377
1868-01-01,2012,3768.408024408848,0.5339124603726061,0.5742519146896874
1869-01-01,2082,3811.7768305521604,0.5462019663145937,0.5484444437836669
1870-01-01,2140,3797.252023596396,0.563565438033053,0.5478371961526955
1871-01-01,2305,3787.8942309383006,0.6085175190937229,0.5784195799045332
1872-01-01,2657,3890.3303858895993,0.682975412483489,0.6428357210875476
1873-01-01,2871,3889.1153222631374,0.7382141598026257,0.7119672857764691
1874-01-01,2621,4086.6815051379403,0.6413516680232539,0.6886787474113953
1875-01-01,2694,4137.666503324767,0.6510916232217536,0.6730867813511441
1876-01-01,2776,4036.9834284391914,0.6876421588565396,0.6830341003210565
1877-01-01,3078,4042.3972793451644,0.7614293666105503,0.7322591189264145
1878-01-01,2952,4079.5034960769635,0.7236174703217628,0.7369377310256302
1879-01-01,2741,3985.2525961253173,0.6877857636087991,0.7140520945031671
1880-01-01,2982,4090.8241229601185,0.7289484735516388,0.7227279303682067
1881-01-01,3003,4186.858118176154,0.7172442712981503,0.720818191582024
1882-01-01,3014,4264.931959351082,0.7066935718380338,0.7128428591413852
1883-01-01,3056,4339.053130899348,0.7043011246480377,0.7066384433506384
1884-01-01,3065,4351.872920669632,0.7042944626076953,0.7035400359608028
1885-01-01,2950,4367.531077078744,0.6754388115248695,0.6852581392361831
1886-01-01,2881,4407.346572361263,0.6536812916113577,0.6624079117999373
1887-01-01,2818,4506.56113564341,0.6253105006635329,0.6340461796723696
1888-01-01,2929,4594.844019849581,0.6374536300572582,0.6276442547339413
1889-01-01,2921,4668.842073198826,0.6256369254312122,0.6205012514311121
1890-01-01,2914,4719.038413248682,0.6174986818964974,0.6140683893932141
1891-01-01,2969,4704.700425093652,0.6310709995824866,0.6204482044275343
1892-01-01,3218,4736.2188193897955,0.6794449586716098,0.6545929658660989
1893-01-01,3080,4804.868595917514,0.6410164895283382,0.6517283835052352
1894-01-01,3115,4937.213759977884,0.6309226522154782,0.6418281727674381
1895-01-01,3062,5017.6811608397775,0.6102420424592169,0.6227234036572511
1896-01-01,2758,5161.787343406447,0.5343110470296705,0.5665280948993634
1897-01-01,2921,5180.79778413324,0.5638127797510032,0.5533056463623487
