Country,ppratio
Spain,4.754985990326415
Albania,30.610326282256167
Argentina,149.04984899054526
Austria,3.6130111657026913
Belgium,134.6981803701249
Brazil,0.937088596048744
Canada,32.78011932802565
Chile,1.727037983238511
Colombia,45.46088177685841
Costa Rica,281.3826538102256
Cyprus,44.685457686753594
Denmark,6.053147793380176
Ecuador,0.8926347307429304
El Salvador,109.17626018462593
Finland,29.644726425350658
France,380.73341823201656
Germany,123.30751788606273
Guatemala,144.43501729531414
Honduras,1.5735378727612181
Iceland,27.385004015456147
Ireland,66.07022306371687
Italy,11.44081511977872
Luxembourg,77.72919032657715
Mexico,37.341905510356774
Netherlands,7.094693494239082
Nicaragua,11.54024567702452
Norway,2.389906818308126
Panama,50.648088853709105
Peru,4.489642175055552
Portugal,28.52467300359746
Sweden,3.9712045372504465
Switzerland,0.14916391716916244
Trinidad and Tobago,200.08450122104784
United Kingdom,22.01027122603723
Uruguay,28.357389855016887
