Predictor,Spain,Synthetic Spain,Sample,diff_synth,diff_sample,improvement_pct
pop.mean.1970.1979,35.5457,55.9823,17.9744,-20.4366,17.5713,-16.3068
gdpcap.mean.1970.1979,21683.3059,18723.525,19446.2494,2959.7809,2237.0564,-32.3069
hc.mean.1970.1979,2.1213,2.0608,2.1965,0.0605,-0.0752,19.5283
csh_c.mean.1970.1979,0.6826,0.6806,0.6426,0.002,0.0399,95.0906
csh_g.mean.1970.1979,0.1037,0.1037,0.1575,0,-0.0538,99.9666
csh_x.mean.1970.1979,0.054,0.0726,0.1927,-0.0186,-0.1387,86.567
csh_m.mean.1970.1979,-0.1181,-0.0907,-0.2472,-0.0274,0.1291,78.7788
rknacapita.mean.1970.1979,95990.2098,80260.1184,84058.7016,15730.0914,11931.5082,-31.8366
