Predictor,Spain,Synthetic Spain,Sample,diff_synth,diff_sample,improvement_pct
pop.mean.1970.1979,35.5457,21.8936,19.6927,13.6521,15.853,13.8831
hc.mean.1970.1979,2.1213,2.0647,2.5856,0.0566,-0.4643,87.8062
gdpcap.mean.1970.1979,21683.3059,21692.2195,29533.7074,-8.9137,-7850.4016,99.8865
csh_c.mean.1970.1979,0.6826,0.6515,0.5868,0.0311,0.0958,67.5164
csh_i.mean.1970.1979,0.2476,0.2476,0.2978,-0,-0.0501,99.9982
csh_g.mean.1970.1979,0.1037,0.1529,0.1712,-0.0492,-0.0675,27.1278
csh_x.mean.1970.1979,0.054,0.172,0.2745,-0.118,-0.2205,46.5044
csh_m.mean.1970.1979,-0.1181,-0.2367,-0.3567,0.1186,0.2387,50.2986
rknacapita.mean.1970.1979,95990.2098,99701.6385,135891.121,-3711.4287,-39900.9112,90.6984
