Predictor,Spain,Synthetic Spain,Sample,diff_synth,diff_sample,improvement_pct
pop.mean.1960.1969,31.9464,35.3822,15.975,-3.4358,15.9713,78.4876
gdpcap.mean.1960.1969,13769.0664,8927.4832,14398.7711,4841.5832,-629.7047,-668.8656
hc.mean.1960.1969,1.9916,1.6794,2.0317,0.3121,-0.0402,-677.2639
csh_c.mean.1960.1969,0.7084,0.7858,0.667,-0.0774,0.0414,-86.8893
csh_g.mean.1960.1969,0.1007,0.0595,0.1297,0.0413,-0.029,-42.5413
csh_x.mean.1960.1969,0.0326,0.0353,0.1581,-0.0026,-0.1255,97.8984
csh_m.mean.1960.1969,-0.0796,-0.0786,-0.2017,-0.0011,0.1221,99.1334
rknacapita.mean.1960.1969,52563.6553,26210.3376,57585.4199,26353.3177,-5021.7646,-424.782
