Country,ppratio
Spain,4.509264480545824
Albania,57.08033049094639
Argentina,4.6211373024949
Austria,3.958618239029486
Belgium,3.950886279993064
Brazil,2.127207001848021
Canada,350.30473589046267
Chile,15.272780297351416
Colombia,271.77018263134863
Costa Rica,191.09668848602558
Cyprus,0.529412477739395
Denmark,6.194829985687862
Ecuador,0.5361062529281347
El Salvador,96.92762285842588
Finland,21.113907180442517
Germany,100.90147168065563
Guatemala,64.63975233672544
Honduras,1.2535265815732166
Iceland,32.27089334398988
Ireland,182.39697058124523
Italy,11.79068838928799
Luxembourg,402.7573876883342
Mexico,30.74307352822803
Netherlands,80.79040836170515
Nicaragua,12.777978810980196
Norway,13.46752226100216
Panama,13.755870019862353
Peru,15.316950837334446
Portugal,6.895884663756014
Sweden,7.447815413968949
Switzerland,0.13658818053590363
Trinidad and Tobago,342.43680383817957
United Kingdom,103.51963738074707
Uruguay,120.05085455623964
