regimes,start_year,end_year,duration_years,CAGR
Bourbon Restoration,1875,1922,47,0.008742369803177663
Primo Rivera Dictatorship,1923,1929,6,0.03309196309395013
Second Republic,1930,1934,4,-0.009082627837320278
Civil War,1935,1938,3,-0.11534040947170854
Francoism,1939,1974,35,0.04253130582940279
Current Democracy,1975,2022,47,0.021400873529776154
