Predictor,Spain,Synthetic Spain,Sample,diff_synth,diff_sample,improvement_pct
pop.mean.1950.1959,29.1444,6.2211,13.2798,22.9234,15.8646,-44.4937
hc.mean.1950.1959,1.884,1.8176,1.9305,0.0664,-0.0465,-42.8863
gdpcap.mean.1950.1959,7622.1257,7622.3155,10837.1952,-0.1898,-3215.0695,99.9941
csh_c.mean.1950.1959,0.7563,0.739,0.6751,0.0173,0.0811,78.7106
csh_i.mean.1950.1959,0.1679,0.1679,0.2357,-0,-0.0678,99.9955
csh_g.mean.1950.1959,0.093,0.093,0.1224,-0,-0.0294,99.9992
csh_x.mean.1950.1959,0.0168,0.1352,0.1512,-0.1184,-0.1344,11.9002
csh_m.mean.1950.1959,-0.039,-0.1106,-0.1888,0.0716,0.1499,52.2185
rknacapita.mean.1950.1959,30923.1198,24149.9847,41736.216,6773.1351,-10813.0962,37.3617
