Country,p_value_less
1,0.5
2,0.375
3,0.6875
4,0.6875
5,0.625
6,0.78125
7,0.6875
8,0.59375
9,0.5625
10,0.53125
11,0.5
12,0.375
13,0.4375
14,0.4375
15,0.40625
16,0.5
