Country,ppratio
Spain,8.58012556905593
Argentina,0.6914965722889115
Austria,4.650931290705913
Belgium,1.4329015454901068
Brazil,3.0458288062800376
Canada,22.138006153800198
Colombia,0.40334819701512586
Costa Rica,0.6826000215084093
Cyprus,0.9373105723652977
Denmark,0.2268193102195813
Ecuador,3.8679232615775714
El Salvador,0.6167198003115838
Finland,16.46239835503445
France,0.28120674261400275
Germany,21.791606336088567
Guatemala,2.716440145459675
Honduras,2.780253116496634
Iceland,16.444285735283838
Ireland,15.50921208810388
Italy,4.148369766250653
Luxembourg,14.815694358889315
Netherlands,7.043698800688211
Nicaragua,7.4134536770110655
Norway,10.015381462134677
Panama,40.75675379525102
Peru,8.851696755912064
Portugal,0.14785485344007943
Sweden,7.96327594437662
Switzerland,5.753057091428457
Trinidad and Tobago,3.991696668852948
United Kingdom,23.828516721952326
Uruguay,5.666826934247621
