Country,Weight
France,0.3080820636560532
Trinidad and Tobago,0.16729988996262796
Argentina,0.16511525248688033
Nicaragua,0.1261795327215871
Germany,0.09670508321602009
Colombia,0.09089902578567924
Brazil,0.04571915217115215
