regimes,start_year,end_year,duration_years,CAGR
Bourbon Restoration,1875-01-01,1922-01-01,47,0.008738461710572798
Primo Rivera Dictatorship,1923-01-01,1930-01-01,7,0.019250059068956826
Second Republic,1931-01-01,1935-01-01,4,0.0013366035620103744
Civil War,1936-01-01,1939-01-01,3,0.0010766378091271456
Francoism,1940-01-01,1974-01-01,34,0.04089334530338862
Current Democracy,1975-01-01,2016-01-01,41,0.017251602530574228
